InspectionID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
INSP-33731,MFH,800012108,FIRST AVENUE GROUP,2513 N 1ST AVE,"LAUREL, MS",39440
INSP-33732,MFH,800012156,Ivy Trace (aka,1000 W 7TH ST,"HATTIESBURG, MS",39401
INSP-32760,MFH,800012174,LONE OAK,101 LONE OAK DR,"LAUREL, MS",39443
INSP-32762,MFH,800012238,QUAIL RUN APTS,1502 N ARCHUSA AVE,"QUITMAN, MS",39355
INSP-30629,MFH,800012300,VILLA ELIZABETH,141 N HINDS ST,"GREENVILLE, MS",38701
INSP-32057,MFH,800012323,WINDCREST MANOR,2401-16 6TH ST,"CLARKSDALE, MS",38614
INSP-26683,MFH,800012509,ARC/HDS CATAWBA CO GH #2,608 FOURTH ST SW,"CONOVER, NC",28613
INSP-26684,MFH,800012510,ARC/HDS CATAWBA CO GH #3,1516 STEEPLE ST,"CONOVER, NC",28613
INSP-34320,MFH,800014070,COMMERCIAL,504 JAMES MOORE RD,"PORT NORRIS, NJ",08349
INSP-34323,MFH,800014230,LIVINGSTON HOMES,29 Livingston St,"NEWARK, NJ",07103
INSP-34327,MFH,800014282,Prospect Plains,233 PROSPECT PLAINS RD,"MONROE TOWNSHIP, NJ",08831
INSP-34330,MFH,800014398,RESIDENTIAL,755 CEDAR BRIDGE AVE,"LAKEWOOD, NJ",08701
INSP-30912,MFH,800014548,CEDAR HILLS,351 CEDAR HILLS DRIVE,"GALLUP, NM",87301
INSP-30914,MFH,800014601,NORTHGATE VILLAGE,2500 WEST APACHE STREET,"Farmington, NM",87401
INSP-33494,MFH,800014628,SOCORRO VILLAGE,444 Eaton Ave,"SOCORRO, NM",87801
INSP-34435,MFH,800014716,SOUTHGATE,2100 California Street,"CARSON CITY, NV",89701
INSP-42477,MFH,800015203,GREENE PARK ARMS,572 GREENE AVE,"BROOKLYN, NY",11216
INSP-33109,MFH,800016342,CAMBRIDGE ARMS II,3751 Eastern Hills Lane,"Cincinnati, OH",45209
INSP-33111,MFH,800016367,CARROLLTON CREST,525 CANTON RD NW,"CARROLLTON, OH",44615
INSP-33115,MFH,800016514,BUCKEYE MANOR,604 BEVERLY AVE,"CANAL FULTON, OH",44614
INSP-32264,MFH,800016665,HEATON HOUSE,1123 NORTH RD,"NILES, OH",44446
INSP-34087,MFH,800016841,LINCOLN PLACE,1378 SOUTH LINCOLN AVE,"SALEM, OH",44460
INSP-33123,MFH,800016849,LODI AMBASSADOR,669 OAK COURT DR,"LODI, OH",44254
INSP-53993,MFH,800016993,NICHOLS TOWNEHOMES,41102 Heather Ln,"Flushing, OH",43977
INSP-34096,MFH,800017104,PLAZA VIEW I,933 PLAZA VIEW CT,"Youngstown, OH",44505
INSP-33134,MFH,800017292,SPRINGHILL HOMES,659 LESSIG AVE,"AKRON, OH",44312
INSP-34102,MFH,800017452,WASHINGTON PARK,31 W 13th St,"Cincinnati, OH",45202
INSP-32266,MFH,800017466,WEST LAKE GARDENS,5001 W ERIE RD,"LORAIN, OH",44052
INSP-33141,MFH,800017498,WIEDER-SILVER,1452 FOREST HILLS BLVD,"CLEVELAND HEIGHTS, OH",44118
INSP-33143,MFH,800017523,WOODLAND HOUSING,529 CARR ST,"JACKSON, OH",45640
INSP-46808,MFH,800017605,EAST TERRACE,1501 Bradley Ave,"Ponca City, OK",74604
INSP-34144,MFH,800017647,IDABEL PIONEER,225 SW Fairview St,"IDABEL, OK",74745
INSP-32848,MFH,800018547,IRMA SELIGMAN,1953 E 36TH ST,"ERIE, PA",16510
INSP-32865,MFH,800019009,WEBSTER STREET,5205 WEBSTER ST,"Philadelphia, PA",19143
INSP-44577,MFH,800019591,TWIN OAKS APARTMENTS,200 HOLMAN ST,"GREENWOOD, SC",29648
INSP-32230,MFH,800019947,KNOLLWOOD,1721 N MAPLE AVE,"RAPID CITY, SD",57701
INSP-30841,MFH,800020020,SOUTH RIDGE HOMES,1116 FIR AVE,"RAPID CITY, SD",57701
INSP-32785,MFH,800020207,GATEWAY VILLAGE,120 W PAINE ST,"SEVIERVILLE, TN",37862
INSP-32786,MFH,800020230,HARRISON VILLAGE,1806 Lamons LN,"JOHNSON CITY, TN",37604
INSP-32788,MFH,800020298,KINGSPORT,1326 TRANBARGER DR,"KINGSPORT, TN",37660
INSP-32789,MFH,800020364,Newport Terrace,425 TERRACE WAY,"NEWPORT, TN",37821
INSP-32791,MFH,800020398,Laurel Place,121 HELMS DR,"MADISONVILLE, TN",37354
INSP-32797,MFH,800020576,Walnut Creek,1725 BENTON STATION RD,"BENTON, TN",37307
INSP-32294,MFH,800020744,Casa Real V,700 E Jeff Cowley,"Freer, TX",78357
INSP-32296,MFH,800020871,EXCHANGE SUNSHINE,1103 Leonhard St,"COPPERAS COVE, TX",76522
INSP-34154,MFH,800020999,KC Casa De Paz,1200 W Corral Ave,"Kingsville, TX",78363
INSP-33301,MFH,800021398,SUNSET APARTMENTS,1601 ALLEN LN,"TEXARKANA, TX",75501
INSP-33070,MFH,800022354,Pelican Horn,303 W. 6TH Street,"MOSES LAKE, WA",98837
INSP-32234,MFH,800022484,FAHY GARDEN,1403 W. DEAN AVE.,"Spokane, WA",99201
INSP-32237,MFH,800022551,HILLCREST VILLAGE,501 ARMSTRONG ST,"WILBUR, WA",99185
INSP-32238,MFH,800022570,JOSEPH COVE,700 Fairview Ave,"BRIDGEPORT, WA",98813
